"","date","count","lang","page","rank","month","title"
"176",2008-06-01,0,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"177",2008-06-02,0,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"178",2008-06-03,1811,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"171",2008-06-04,1847,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"172",2008-06-05,1871,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"173",2008-06-06,1792,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"174",2008-06-07,1729,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"169",2008-06-08,2233,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"170",2008-06-09,2248,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"159",2008-06-10,2244,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"158",2008-06-11,2131,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"157",2008-06-12,1999,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"156",2008-06-13,2206,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"163",2008-06-14,2369,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"162",2008-06-15,2384,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"161",2008-06-16,2331,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"160",2008-06-17,2630,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"166",2008-06-18,2432,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"165",2008-06-19,2469,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"181",2008-06-20,2321,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"152",2008-06-21,2388,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"179",2008-06-22,2416,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"180",2008-06-23,2422,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"154",2008-06-24,2688,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"155",2008-06-25,2763,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"175",2008-06-26,2613,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"153",2008-06-27,2589,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"167",2008-06-28,2776,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"168",2008-06-29,2569,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"164",2008-06-30,2692,"en","Shahid_Kapoor","2950","200806","Shahid_Kapoor"
"190",2008-07-02,2492,"en","Shahid_Kapoor","2950","200807","Shahid_Kapoor"
"189",2008-07-03,2625,"en","Shahid_Kapoor","2950","200807","Shahid_Kapoor"
"188",2008-07-04,2780,"en","Shahid_Kapoor","2950","200807","Shahid_Kapoor"
"187",2008-07-05,2503,"en","Shahid_Kapoor","2950","200807","Shahid_Kapoor"
"186",2008-07-06,2717,"en","Shahid_Kapoor","2950","200807","Shahid_Kapoor"
"185",2008-07-07,2730,"en","Shahid_Kapoor","2950","200807","Shahid_Kapoor"
"192",2008-07-08,2613,"en","Shahid_Kapoor","2950","200807","Shahid_Kapoor"
"191",2008-07-09,2706,"en","Shahid_Kapoor","2950","200807","Shahid_Kapoor"
"182",2008-07-10,2656,"en","Shahid_Kapoor","2950","200807","Shahid_Kapoor"
"183",2008-07-11,2911,"en","Shahid_Kapoor","2950","200807","Shahid_Kapoor"
"184",2008-07-12,2933,"en","Shahid_Kapoor","2950","200807","Shahid_Kapoor"
"210",2008-08-01,2899,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"207",2008-08-02,2837,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"208",2008-08-03,2757,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"193",2008-08-04,2969,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"214",2008-08-05,3005,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"211",2008-08-06,2856,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"223",2008-08-07,2666,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"215",2008-08-08,2611,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"216",2008-08-09,2320,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"197",2008-08-10,2572,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"196",2008-08-11,2698,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"199",2008-08-12,2497,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"198",2008-08-13,2472,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"201",2008-08-14,2321,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"200",2008-08-15,2085,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"203",2008-08-16,2303,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"202",2008-08-17,2199,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"205",2008-08-18,2648,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"204",2008-08-19,2481,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"222",2008-08-20,2282,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"212",2008-08-21,2164,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"213",2008-08-22,2116,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"195",2008-08-23,2022,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"219",2008-08-24,2400,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"220",2008-08-25,2105,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"209",2008-08-26,2030,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"221",2008-08-27,2047,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"217",2008-08-28,1967,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"218",2008-08-29,2031,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"206",2008-08-30,2060,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"194",2008-08-31,2355,"en","Shahid_Kapoor","2950","200808","Shahid_Kapoor"
"238",2008-09-01,1993,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"225",2008-09-02,1720,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"239",2008-09-03,1630,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"235",2008-09-04,1763,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"234",2008-09-05,1755,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"237",2008-09-06,1894,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"236",2008-09-07,1907,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"240",2008-09-08,1626,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"230",2008-09-09,1639,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"252",2008-09-10,1568,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"253",2008-09-11,1585,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"250",2008-09-12,1862,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"251",2008-09-13,2054,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"248",2008-09-14,2103,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"249",2008-09-15,1694,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"246",2008-09-16,1509,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"247",2008-09-17,1557,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"244",2008-09-18,1558,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"245",2008-09-19,1869,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"233",2008-09-20,2041,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"232",2008-09-21,2253,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"231",2008-09-22,1816,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"224",2008-09-23,1785,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"229",2008-09-24,1739,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"228",2008-09-25,1839,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"227",2008-09-26,1813,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"226",2008-09-27,1951,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"241",2008-09-28,1943,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"243",2008-09-29,1896,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"242",2008-09-30,1474,"en","Shahid_Kapoor","2950","200809","Shahid_Kapoor"
"258",2008-10-01,1650,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"257",2008-10-02,1531,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"256",2008-10-03,1609,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"262",2008-10-04,1843,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"261",2008-10-05,1879,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"260",2008-10-06,1789,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"259",2008-10-07,1833,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"255",2008-10-08,1760,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"254",2008-10-09,1792,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"279",2008-10-10,1974,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"280",2008-10-11,1931,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"281",2008-10-12,2191,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"282",2008-10-13,1976,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"275",2008-10-14,1835,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"276",2008-10-15,1713,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"277",2008-10-16,1880,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"278",2008-10-17,1864,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"283",2008-10-18,2134,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"284",2008-10-19,1995,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"264",2008-10-20,1841,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"263",2008-10-21,0,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"266",2008-10-22,0,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"265",2008-10-23,1808,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"268",2008-10-24,1797,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"267",2008-10-25,1848,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"270",2008-10-26,2153,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"269",2008-10-27,1993,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"272",2008-10-28,1931,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"271",2008-10-29,1967,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"273",2008-10-30,1815,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"274",2008-10-31,1940,"en","Shahid_Kapoor","2950","200810","Shahid_Kapoor"
"300",2008-11-01,2117,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"301",2008-11-02,2053,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"302",2008-11-03,2010,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"303",2008-11-04,1664,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"304",2008-11-05,1501,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"305",2008-11-06,1711,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"306",2008-11-07,1807,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"307",2008-11-08,2253,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"308",2008-11-09,2312,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"294",2008-11-10,1985,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"293",2008-11-11,1999,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"292",2008-11-12,1724,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"291",2008-11-13,1856,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"290",2008-11-14,1945,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"289",2008-11-15,1919,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"288",2008-11-16,1964,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"287",2008-11-17,1666,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"297",2008-11-18,1682,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"296",2008-11-19,1471,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"313",2008-11-20,1602,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"314",2008-11-21,1662,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
"311",2008-11-22,1860,"en","Shahid_Kapoor","2950","200811","Shahid_Kapoor"
